company,size,industry,city,state,contacts,roles,interactions,interactionSubjects,daysSinceLastInteraction,averageOfferValue,offerClosed,offerHitRate,daysSinceLastOfferClosed,customerClassification
"Moore, Miranda and Love",Large,Automobile Manufacturers (OEMs),Bartlettshire,California,4,"CEO, CFO, Sales Representative",18,"Product demostration, Discuss project details, Contract negotiation, Follow-up on order, Product feedback, Customer inquiry, Follow-up on proposal",57,9856.66,9,0.5,34,B
Warren-Harris,Large,Electric Vehicle (EV) Industry,Ashleymouth,West Virginia,1,Technical Manager,24,"Follow-up on proposal, Contract negotiation, Discuss project details, Follow-up on order, Product demostration, Product feedback, Customer inquiry",56,9965.66,12,0.67,170,A
"Henderson, Jenkins and Medina",Large,Connected Car Solutions Providers,North Timothy,North Carolina,2,CFO,13,"Product feedback, Follow-up on order, Contract negotiation, Product demostration, Discuss project details, Customer inquiry",46,10033.67,9,0.41,55,B
"Collier, Dunn and Harris",Small,Fleet Management,Melissatown,Texas,2,"CFO, CCO",13,"Follow-up on order, Contract negotiation, Discuss project details, Follow-up on proposal, Product demostration, Product feedback",51,9585.55,9,0.5,70,B
Castillo-Gregory,Large,Automotive R&D and Testing Centers,Port Dana,Illinois,2,"Technical Manager, Sales Manager",16,"Customer inquiry, Contract negotiation, Product feedback, Product demostration, Follow-up on order, Follow-up on proposal, Discuss project details",91,9800.4,1,0.11,102,C
Campbell-Sherman,Medium,Connected Car Solutions Providers,Wilsonhaven,Connecticut,4,"CFO, Technical Manager, Sales Manager, CEO",23,"Discuss project details, Contract negotiation, Customer inquiry, Follow-up on proposal, Product feedback, Follow-up on order, Product demostration",58,10157.58,8,0.62,47,B
Holloway-Mitchell,Small,Fleet Management,Charlesport,Missouri,1,Sales Manager,18,"Product demostration, Customer inquiry, Discuss project details, Follow-up on order, Contract negotiation, Product feedback, Follow-up on proposal",34,10204.37,11,0.48,42,A
Mcpherson-Austin,Large,Connected Car Solutions Providers,West Donnaburgh,Kentucky,2,Technical Representative,14,"Follow-up on proposal, Discuss project details, Contract negotiation, Customer inquiry, Product demostration",243,10206.42,8,0.4,56,B
Vargas-Cooper,Large,Automobile Manufacturers (OEMs),South Ian,Michigan,1,CEO,17,"Discuss project details, Follow-up on order, Product demostration, Customer inquiry, Follow-up on proposal, Contract negotiation, Product feedback",84,10047.02,10,0.56,114,B
Miller-Delacruz,Small,Ridesharing & Mobility Services,Jeremyfort,Pennsylvania,3,"Technical Representative, Sales Manager, Technical Manager",20,"Follow-up on proposal, Customer inquiry, Product feedback, Contract negotiation, Follow-up on order, Discuss project details, Product demostration",150,10119.83,8,0.47,121,B
Keller LLC,Medium,Automotive R&D and Testing Centers,East Andrewberg,North Dakota,2,"Sales Representative, CEO",8,"Product feedback, Product demostration, Follow-up on order, Discuss project details, Contract negotiation",93,9982.14,5,0.33,52,C
Fisher-Mendoza,Medium,Connected Car Solutions Providers,Garrettmouth,New Jersey,2,"Technical Representative, Sales Manager",26,"Discuss project details, Follow-up on order, Product demostration, Product feedback, Customer inquiry, Contract negotiation, Follow-up on proposal",161,10311.37,8,0.33,74,B
Henderson and Sons,Medium,Ridesharing & Mobility Services,Lake Glorialand,Kentucky,3,"CCO, Technical Representative, Sales Representative",18,"Product demostration, Follow-up on proposal, Discuss project details, Customer inquiry, Follow-up on order, Contract negotiation",91,9475.56,8,0.42,74,B
"Collins, White and Shannon",Small,Electric Vehicle (EV) Industry,Port Whitney,Colorado,3,"Technical Manager, CEO, CFO",17,"Contract negotiation, Discuss project details, Follow-up on order, Product demostration, Product feedback, Follow-up on proposal",120,10395.33,5,0.36,166,C
"Saunders, Grant and Porter",Large,Fleet Management,West Dalemouth,Pennsylvania,1,Technical Representative,22,"Discuss project details, Contract negotiation, Product demostration, Follow-up on proposal, Product feedback, Follow-up on order, Customer inquiry",68,10218.11,7,0.47,91,C
"Higgins, Curry and Thornton",Medium,Automobile Manufacturers (OEMs),West Carrie,Idaho,1,CFO,19,"Customer inquiry, Product feedback, Follow-up on order, Product demostration, Contract negotiation, Discuss project details",81,9932.04,6,0.35,64,C
Boyd-Johns,Large,Electric Vehicle (EV) Industry,Thomasland,Rhode Island,2,"CCO, Sales Representative",12,"Product feedback, Customer inquiry, Discuss project details, Follow-up on proposal, Contract negotiation",87,10160.08,5,0.24,47,C
Lane Group,Large,Automotive R&D and Testing Centers,West Leeburgh,Ohio,2,"CFO, CEO",19,"Product demostration, Customer inquiry, Follow-up on proposal, Contract negotiation, Follow-up on order, Discuss project details, Product feedback",94,9984.43,5,0.23,180,C
Huber Ltd,Small,Automobile Manufacturers (OEMs),Lake Haleytown,Louisiana,1,Technical Manager,18,"Follow-up on order, Product feedback, Follow-up on proposal, Discuss project details, Customer inquiry, Product demostration, Contract negotiation",71,10352.65,8,0.4,104,B
"Garza, Olson and Thompson",Small,Ridesharing & Mobility Services,Williamborough,Missouri,1,Technical Manager,15,"Contract negotiation, Follow-up on order, Product feedback, Follow-up on proposal, Discuss project details, Customer inquiry",187,9930.87,7,0.44,198,C
Wright-Adams,Large,Connected Car Solutions Providers,Lake Teresa,Georgia,2,"CFO, CEO",9,"Follow-up on proposal, Contract negotiation, Discuss project details, Customer inquiry, Product feedback, Product demostration, Follow-up on order",37,9859.02,12,0.57,44,A
Goodwin-Deleon,Large,Fleet Management,New John,Montana,3,"CCO, Technical Representative",15,"Follow-up on proposal, Product feedback, Discuss project details, Contract negotiation, Customer inquiry, Product demostration",42,10371.08,19,0.61,49,A
"Castillo, Garcia and Grant",Medium,Ridesharing & Mobility Services,Port Tiffanyport,Alaska,3,"Sales Manager, CEO",7,"Product demostration, Follow-up on order, Contract negotiation, Customer inquiry",195,9970.85,14,0.42,37,A
Rubio Inc,Medium,Automobile Manufacturers (OEMs),North James,Missouri,3,"Sales Representative, Technical Representative",12,"Product feedback, Follow-up on proposal, Discuss project details, Product demostration, Contract negotiation",184,9989.3,14,0.54,46,A
Day-Holt,Small,Automobile Manufacturers (OEMs),Emilychester,Pennsylvania,2,"Technical Representative, Sales Representative",16,"Contract negotiation, Product demostration, Product feedback, Customer inquiry, Follow-up on proposal, Follow-up on order, Discuss project details",179,9921.36,3,0.14,196,C
Hill-Hood,Small,Automotive R&D and Testing Centers,Morganbury,Wisconsin,1,Technical Manager,23,"Discuss project details, Follow-up on order, Product feedback, Product demostration, Customer inquiry, Follow-up on proposal, Contract negotiation",57,9795.88,10,0.56,157,B
Gonzalez-Bautista,Small,Automobile Manufacturers (OEMs),North Cody,Maine,1,Sales Representative,21,"Discuss project details, Product demostration, Follow-up on proposal, Follow-up on order, Customer inquiry, Product feedback, Contract negotiation",109,9954.46,12,0.48,42,A
Johnson Ltd,Small,Automotive R&D and Testing Centers,Paigeborough,Nevada,2,"Sales Representative, Sales Manager",12,"Customer inquiry, Product demostration, Follow-up on order, Follow-up on proposal, Contract negotiation, Product feedback, Discuss project details",122,10277.29,7,0.41,42,C
"Ayala, Roach and Chambers",Medium,Connected Car Solutions Providers,West Bridgetshire,New Mexico,1,CFO,11,"Contract negotiation, Product demostration, Discuss project details, Product feedback, Follow-up on order, Follow-up on proposal",83,9869.43,8,0.47,110,B
"Medina, Nichols and Buck",Small,Electric Vehicle (EV) Industry,New Brooke,Louisiana,2,"Technical Manager, CCO",16,"Product demostration, Discuss project details, Follow-up on order, Follow-up on proposal, Product feedback",155,10134.36,6,0.32,34,C
Meyer Group,Large,Automobile Manufacturers (OEMs),Jennifershire,Ohio,1,Sales Representative,13,"Contract negotiation, Customer inquiry, Follow-up on order, Product feedback, Product demostration, Follow-up on proposal, Discuss project details",48,9849.75,8,0.44,78,B
"Rojas, Harris and Harris",Medium,Electric Vehicle (EV) Industry,East Dylan,Indiana,2,"Sales Manager, CEO",12,"Product feedback, Contract negotiation, Product demostration, Customer inquiry, Follow-up on order, Follow-up on proposal",98,10047.96,13,0.57,117,A
"Ruiz, Bailey and Woods",Large,Electric Vehicle (EV) Industry,Lake Jennifermouth,California,2,"CFO, Sales Manager",22,"Contract negotiation, Follow-up on order, Product demostration, Product feedback, Discuss project details, Follow-up on proposal, Customer inquiry",116,10145.35,10,0.48,63,B
Morgan Inc,Large,Ridesharing & Mobility Services,Lyonsfurt,Ohio,2,"CCO, Technical Manager",15,"Discuss project details, Product demostration, Customer inquiry, Follow-up on order, Product feedback, Contract negotiation, Follow-up on proposal",98,9699.28,8,0.44,232,B
Cross-Garcia,Small,Ridesharing & Mobility Services,Adrianshire,Hawaii,1,CCO,22,"Follow-up on order, Discuss project details, Contract negotiation, Product feedback, Follow-up on proposal, Product demostration, Customer inquiry",44,9953.28,10,0.4,64,B
"Robertson, Fields and Brown",Small,Automobile Manufacturers (OEMs),West Sherry,South Dakota,3,"Technical Manager, Sales Manager, CCO",19,"Follow-up on order, Contract negotiation, Follow-up on proposal, Customer inquiry, Discuss project details, Product demostration",71,10095.93,12,0.75,53,A
Powell Ltd,Small,Electric Vehicle (EV) Industry,Mikeside,Montana,2,CCO,18,"Follow-up on order, Follow-up on proposal, Product feedback, Customer inquiry, Discuss project details, Contract negotiation",100,10165.98,7,0.54,287,C
Snyder-Deleon,Small,Automobile Manufacturers (OEMs),Sethfort,Oklahoma,5,"Technical Representative, CFO",19,"Follow-up on proposal, Product demostration, Contract negotiation, Customer inquiry, Discuss project details, Follow-up on order, Product feedback",100,9849.25,5,0.33,83,C
Gonzalez Group,Small,Electric Vehicle (EV) Industry,West Kevinside,Alabama,3,"Technical Manager, CCO, CEO",14,"Customer inquiry, Contract negotiation, Discuss project details, Product demostration, Follow-up on proposal, Product feedback",88,10157.01,8,0.47,279,B
"Jackson, Hill and Johnson",Large,Ridesharing & Mobility Services,New Davidfort,South Carolina,2,"Technical Representative, CFO",10,"Follow-up on order, Follow-up on proposal, Contract negotiation, Customer inquiry",92,9902.4,7,0.39,216,C
"Phillips, Kemp and Kent",Medium,Fleet Management,Yolandaland,Maine,2,"CEO, CCO",25,"Discuss project details, Follow-up on order, Product demostration, Follow-up on proposal, Product feedback, Contract negotiation, Customer inquiry",166,10095.19,6,0.3,57,C
"Rojas, Cole and Hayes",Medium,Ridesharing & Mobility Services,West Virginiaside,Vermont,1,CEO,13,"Contract negotiation, Customer inquiry, Follow-up on proposal, Discuss project details, Product feedback, Follow-up on order",73,10418.28,9,0.38,53,B
"Anderson, Hawkins and Ruiz",Medium,Electric Vehicle (EV) Industry,East Adamfort,Kentucky,2,"Technical Manager, Sales Manager",17,"Discuss project details, Customer inquiry, Product feedback, Follow-up on order, Contract negotiation, Product demostration, Follow-up on proposal",223,10185.57,8,0.5,54,B
Crane PLC,Large,Automotive R&D and Testing Centers,Cohenhaven,New York,2,"Technical Manager, Sales Manager",10,"Contract negotiation, Product feedback, Customer inquiry, Discuss project details, Follow-up on order, Follow-up on proposal",122,10051.76,9,0.56,69,B
Lopez-Reynolds,Large,Electric Vehicle (EV) Industry,Moniqueside,Colorado,2,CFO,17,"Product feedback, Customer inquiry, Product demostration, Discuss project details, Follow-up on proposal, Contract negotiation, Follow-up on order",122,10008.93,12,0.48,40,A
Hernandez-Campbell,Large,Automobile Manufacturers (OEMs),West Daniel,Missouri,2,"CFO, Sales Representative",14,"Contract negotiation, Product demostration, Follow-up on order, Follow-up on proposal, Customer inquiry, Product feedback, Discuss project details",149,9809.17,13,0.57,137,A
Mendoza-Moore,Large,Ridesharing & Mobility Services,Garciaview,Arkansas,1,Technical Manager,18,"Contract negotiation, Product demostration, Customer inquiry, Discuss project details, Follow-up on proposal, Product feedback, Follow-up on order",33,10227.92,12,0.6,42,A
Lopez-Drake,Large,Ridesharing & Mobility Services,North Anitachester,Georgia,1,Technical Manager,21,"Follow-up on order, Product demostration, Customer inquiry, Follow-up on proposal, Contract negotiation, Discuss project details, Product feedback",137,10020.27,19,0.54,44,A
"Gallegos, Mejia and Adams",Small,Fleet Management,New Emily,Nevada,1,Sales Manager,20,"Product feedback, Product demostration, Follow-up on proposal, Contract negotiation, Follow-up on order, Discuss project details, Customer inquiry",39,10653.06,6,0.38,128,C
Lyons Ltd,Medium,Ridesharing & Mobility Services,Lake Jennifer,Maryland,4,"CFO, CEO, CCO",10,"Product feedback, Customer inquiry, Product demostration, Discuss project details, Follow-up on order, Follow-up on proposal, Contract negotiation",337,10262.54,8,0.53,236,B
"Griffith, Ellison and Reilly",Large,Automobile Manufacturers (OEMs),East Scott,Michigan,2,"Sales Representative, CCO",24,"Product feedback, Follow-up on order, Product demostration, Follow-up on proposal, Customer inquiry, Contract negotiation, Discuss project details",40,10013.37,14,0.61,47,A
Cardenas-Norris,Medium,Connected Car Solutions Providers,West Chloetown,Pennsylvania,4,"Sales Representative, CEO, CCO",19,"Follow-up on proposal, Discuss project details, Product demostration, Contract negotiation, Follow-up on order, Product feedback",69,10054.89,9,0.45,90,B
Allen Group,Large,Automotive R&D and Testing Centers,East Beth,Washington,2,"CFO, Technical Representative",11,"Customer inquiry, Product demostration, Follow-up on proposal, Discuss project details",252,9607.83,12,0.6,38,A
Williams-Kim,Large,Electric Vehicle (EV) Industry,Mendezburgh,Virginia,4,"Sales Manager, Technical Manager, CEO",14,"Product demostration, Follow-up on proposal, Discuss project details, Customer inquiry, Contract negotiation, Product feedback",137,10214.77,8,0.4,101,B
Bowman-Ward,Small,Electric Vehicle (EV) Industry,Youngview,Connecticut,1,CFO,10,"Follow-up on proposal, Discuss project details, Product demostration, Customer inquiry, Product feedback, Follow-up on order",227,10268.98,9,0.56,61,B
